movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
The Order of Myths,NR,"Documentary, Musical , Performing Arts, Special Interest, Faith , Spirituality",07-25-08,01-13-09,97,Fresh,100,32,70,709
The Orphanage,R,"Drama, Horror, Mystery , Suspense",12-28-07,04-22-08,105,Certified Fresh,87,177,86,67008
The Osiris Child: Science Fiction Volume One,NR,"Drama, Science Fiction , Fantasy",06-10-17,05-12-17,99,Fresh,63,19,47,2013
The Other Dream Team,NR,"Documentary, Sports , Fitness",09-28-12,01-14-13,90,Fresh,87,31,88,1814
The Other F Word,NR,"Documentary, Musical , Performing Arts, Special Interest",02-11-11,01-31-12,98,Fresh,77,35,82,1920
The Other Man: F.W. de Klerk and the End of Apartheid,NR,Documentary,06-02-15,09-21-15,75,Rotten,50,6,33,72
The Other Side of Everything (Druga strana svega),NR,"Art House , International, Documentary",,08-13-19,100,Fresh,90,10,78,28
The Other Side of Heaven,PG,"Action , Adventure, Drama",12-14-01,01-04-03,113,Rotten,30,43,74,10135
The Other Side of the Door,R,"Horror, Mystery , Suspense",04-03-16,07-06-16,96,Rotten,35,37,29,4047
The Other Side of the Wind,R,Drama,02-11-18,02-11-18,122,Certified Fresh,83,92,57,314
The Other Son,PG-13,Drama,10-26-12,03-19-13,105,Certified Fresh,79,52,78,7314
The Other Woman,R,Drama,04-02-11,05-17-11,102,Rotten,38,45,45,15106
The Other Woman,PG-13,Comedy,04-25-14,07-29-14,107,Rotten,25,161,57,65234
The Ottoman Lieutenant,NR,Drama,10-03-17,01-08-17,100,Rotten,17,35,51,800
The Out-of-Towners,PG-13,Comedy,02-04-99,09-21-99,92,Rotten,27,37,32,13923
The Outcasts,PG-13,Comedy,04-14-17,04-14-17,95,Rotten,50,8,47,2885
The Outlaw,G,"Action , Adventure, Classics, Drama, Mystery , Suspense, Western, Romance",05-02-43,04-29-98,123,Fresh,80,10,31,1545
The Outrageous Sophie Tucker,NR,Documentary,07-24-15,10-08-15,96,Fresh,74,19,61,145
The Outsider,NR,"Action , Adventure",07-02-14,06-16-14,94,Rotten,5,20,12,244
The Outsider,NR,"Drama, Mystery , Suspense",,09-03-18,120,Rotten,17,23,68,728
The Outsider,NR,Western,06-14-19,06-14-19,,Rotten,53,15,48,27
The Overnight,R,Comedy,06-19-15,09-15-15,80,Certified Fresh,82,125,54,10034
The Overnighters,PG-13,"Documentary, Drama, Special Interest",10-10-14,03-02-15,90,Certified Fresh,99,72,85,2972
The Overture,NR,"Art House , International, Drama",06-10-05,07-03-06,104,Fresh,60,5,88,537
The Pack,NR,"Art House , International, Horror, Mystery , Suspense",05-02-16,05-02-16,99,Rotten,56,9,17,190
The Package,NR,Comedy,,10-08-18,,Rotten,44,18,51,349
The Pact,R,"Horror, Mystery , Suspense, Special Interest",06-07-12,06-11-12,91,Fresh,66,41,41,10183
The Pact II,NR,"Horror, Mystery , Suspense",10-10-14,06-07-15,96,Rotten,23,13,14,367
The Pajama Game,NR,"Classics, Comedy, Musical , Performing Arts, Romance",08-29-57,09-21-99,101,Fresh,91,11,64,4721
The Paperboy,R,Drama,05-10-12,01-22-13,106,Rotten,45,146,33,17118
The Parking Lot Movie,NR,"Documentary, Special Interest",06-08-10,03-15-11,84,Fresh,78,9,79,834
The Parts You Lose,NR,"Drama, Mystery , Suspense",04-10-19,04-10-19,93,Fresh,65,17,53,19
The Party,R,"Art House , International, Comedy, Drama",02-16-18,05-22-18,71,Certified Fresh,81,154,61,1960
The Party's Over,NR,"Documentary, Special Interest",02-11-01,08-17-04,82,Rotten,56,16,68,1065
The Passion of Anna (En Passion),R,"Art House , International, Drama",05-28-70,10-02-04,101,Fresh,100,14,85,2461
The Patience Stone,R,Drama,08-14-13,11-03-14,102,Certified Fresh,85,59,75,1232
The Patrol,NR,"Action , Adventure, Drama",,05-19-14,85,Fresh,64,11,32,194
The Patsy,G,"Classics, Comedy",12-08-64,12-10-04,80,Fresh,82,11,63,1647
The Pawnbroker,NR,"Classics, Drama",04-20-65,12-16-03,116,Fresh,83,12,88,2378
The Peanuts Movie,G,"Animation, Kids , Family",06-11-15,08-03-16,92,Certified Fresh,87,193,76,66964
The People I've Slept With,NR,Comedy,08-13-10,03-22-11,89,Rotten,27,11,37,1630
The People vs. George Lucas,NR,"Comedy, Documentary, Musical , Performing Arts, Special Interest",06-05-11,10-25-11,92,Fresh,72,25,70,1517
The Perfect Age of Rock 'n' Roll,R,"Documentary, Drama, Musical , Performing Arts",05-08-11,07-11-11,91,Rotten,0,14,51,621
The Perfect Date,NR,"Comedy, Romance",,12-04-19,89,Fresh,69,16,38,458
The Perfect Family,PG-13,"Comedy, Drama",04-05-12,06-26-12,83,Rotten,48,33,36,3984
The Perfect Guy,PG-13,"Mystery , Suspense",11-09-15,12-29-15,100,Rotten,18,45,51,18625
The Perfect Match,R,Comedy,11-03-16,07-19-16,95,Rotten,25,16,44,4144
The Perfect Weapon,R,"Action , Adventure, Drama",01-06-91,12-09-91,85,Rotten,45,11,65,2589
The Perfection,NR,"Drama, Mystery , Suspense",,05-24-19,90,Certified Fresh,73,85,59,299
The Perks of Being a Wallflower,PG-13,Drama,09-21-12,12-02-13,103,Certified Fresh,86,161,89,138500
The Pervert's Guide To Ideology,NR,"Documentary, Special Interest",01-11-13,02-17-14,134,Fresh,93,27,78,3404
The Petrified Forest,NR,"Classics, Drama, Romance",08-02-36,01-25-05,83,Fresh,100,11,80,4876
The Phantom Carriage,NR,"Art House , International, Drama, Horror, Science Fiction , Fantasy",01-01-20,09-26-11,89,Fresh,100,13,90,1470
The Phenom,NR,Drama,06-24-16,06-24-16,88,Certified Fresh,79,47,39,728
The Piano Tuner of Earthquakes,NR,"Art House , International, Drama, Science Fiction , Fantasy",11-17-06,04-24-07,98,Rotten,45,40,58,1254
The Pill,NR,"Comedy, Drama, Romance",12-16-11,06-02-13,83,Fresh,70,10,56,1317
The Pillow Book,NC17,"Art House , International, Cult Movies, Drama, Special Interest",06-06-97,12-15-98,123,Fresh,66,53,81,13209
The Pinochet Case,NR,"Documentary, Kids , Family, Special Interest",01-01-02,04-09-12,110,Fresh,94,17,89,122
The Pirate Fairy,G,"Animation, Kids , Family, Science Fiction , Fantasy",02-13-14,01-04-14,78,Fresh,81,21,70,3346
The Pirates,NR,"Action , Adventure, Art House , International",05-09-14,01-19-15,130,Rotten,57,7,52,487
